"","Date","Category","Credit","Debit"
"127","04/20/2023","Transportation/",NA,-48.5
"128","04/20/2023","Transportation/",NA,-5.68
"129","04/20/2023","Transportation/",NA,-46.44
"130","04/19/2023","Health & Lifestyle/",NA,-9.85
"131","04/19/2023","Shopping/",NA,-1
"132","04/18/2023","Transportation/",NA,-7.16
"133","04/18/2023","Health & Lifestyle/",NA,-4.87
"134","04/18/2023","Shopping/",NA,-1
"135","04/17/2023","Payments & Transfers/",NA,-41
"136","04/17/2023","Groceries/",NA,-7.69
"137","04/17/2023","Transportation/",NA,-33.62
"138","04/17/2023","Groceries/",NA,-34.79
"139","04/17/2023","Dining/",NA,-36
"140","04/17/2023","Payments & Transfers/",NA,-84
"141","04/17/2023","Dining/",NA,-9.5
"142","04/17/2023","Dining/",NA,-2.5
"143","04/14/2023","Groceries/",NA,-11.34
"144","04/13/2023","Groceries/",NA,-12.78
"145","04/13/2023","Dining/",NA,-9.5
"146","04/13/2023","Transportation/",NA,-36.3
"147","04/12/2023","Shopping/",NA,-15.77
"148","04/12/2023","Groceries/",NA,-26.27
"149","04/12/2023","Health & Lifestyle/",NA,-10.48
"150","04/12/2023","Paycheck, Pensions & Annuity/",409.66,NA
"151","04/11/2023","Transportation/",NA,-6.31
"152","04/11/2023","Health & Lifestyle/",NA,-8.62
"153","04/10/2023","Shopping/",NA,-50
"154","04/10/2023","Groceries/",NA,-20.83
"155","04/10/2023","Transportation/",NA,-42
"156","04/10/2023","Groceries/",NA,-5.8
"157","04/06/2023","Transportation/",NA,-39.71
"158","04/05/2023","Health & Lifestyle/",NA,-10.9
"159","04/05/2023","Shopping/",NA,-1
"160","04/04/2023","Payments & Transfers/",NA,-39
"161","04/04/2023","Transportation/",NA,-5.23
"162","04/04/2023","Transportation/",NA,-13.7
"163","04/04/2023","Health & Lifestyle/",NA,-6
"164","04/04/2023","Transportation/",NA,-5.13
"165","04/04/2023","Transportation/",NA,-38.86
"166","04/03/2023","Transportation/",NA,-20.01
"167","04/03/2023","Dining/",NA,-6.72
"168","04/03/2023","Dining/",NA,-14
"169","04/03/2023","Dining/",NA,-9
"170","04/03/2023","Dining/",NA,-2.5
"171","03/31/2023","Dining/",NA,-11.99
"172","03/31/2023","Groceries/",NA,-17.95
"173","03/30/2023","Groceries/",NA,-21.8
"174","03/30/2023","Dining/",NA,-13.99
"175","03/30/2023","Transportation/",NA,-46.59
"176","03/29/2023","Health & Lifestyle/",NA,-10.48
"177","03/29/2023","Paycheck, Pensions & Annuity/",320.12,NA
"178","03/28/2023","Entertainment/",NA,-10.54
"179","03/28/2023","Transportation/",NA,-5.99
"180","03/28/2023","Transportation/",NA,-114.23
"181","03/28/2023","Health & Lifestyle/",NA,-1.5
"182","03/28/2023","Health & Lifestyle/",NA,-9.85
"183","03/28/2023","Shopping/",NA,-1
"184","03/28/2023","Transportation/",NA,-9.28
"185","03/28/2023","Transportation/",NA,-36.08
"186","03/27/2023","Groceries/",NA,-3.49
"187","03/27/2023","Groceries/",NA,-12.05
"188","03/27/2023","Groceries/",NA,-31.55
"189","03/27/2023","Dining/",NA,-2.5
"190","03/24/2023","Office Expenses/",NA,-6.3
"191","03/24/2023","Groceries/",NA,-14.3
"192","03/23/2023","Groceries/",NA,-6.88
"193","03/23/2023","Transportation/",NA,-41.08
"194","03/22/2023","Health & Lifestyle/",NA,-6.75
"195","03/22/2023","Shopping/",NA,-1
"196","03/22/2023","Payments & Transfers/",NA,-84
"197","03/22/2023","Groceries/",NA,-17.91
"198","03/21/2023","Transportation/",NA,-3.37
"199","03/21/2023","Health & Lifestyle/",NA,-13.19
"200","03/21/2023","Transportation/",NA,-7.58
"201","03/21/2023","Transportation/",NA,-40.41
"202","03/20/2023","Shopping/",NA,-15.77
"203","03/20/2023","Groceries/",NA,-11.6
"204","03/20/2023","Groceries/",NA,-10.46
"205","03/20/2023","Dining/",NA,-2.5
"206","03/20/2023","Education/",NA,-250
"207","03/20/2023","Education/",NA,-7.13
"208","03/20/2023","Dining/",NA,-2.5
"209","03/17/2023","Dining/",NA,-2.5
"210","03/16/2023","Transportation/",NA,-16.95
"211","03/16/2023","Office Expenses/",NA,-25.29
"212","03/16/2023","Payments & Transfers/",NA,-35
"213","03/16/2023","Transportation/",NA,-33.68
"214","03/15/2023","Health & Lifestyle/",NA,-10.48
"215","03/15/2023","Paycheck, Pensions & Annuity/",536.61,NA
"216","03/14/2023","Transportation/",NA,-6.16
"217","03/14/2023","Transportation/",NA,-6.68
"218","03/14/2023","Transportation/",NA,-40.53
"219","03/14/2023","Deposits/",243,NA
"220","03/13/2023","Transportation/",NA,-3.99
"221","03/13/2023","Health & Lifestyle/",NA,-10.16
"222","03/10/2023","Entertainment/",NA,-15.81
"223","03/10/2023","Shopping/",NA,-10.54
"224","03/09/2023","Entertainment/",NA,-16
"225","03/08/2023","Health & Lifestyle/",NA,-3.29
"226","03/08/2023","Health & Lifestyle/",NA,-9.43
"227","03/08/2023","Transportation/",NA,-52.54
"228","03/07/2023","Transportation/",NA,-9.48
"229","03/07/2023","Transportation/",NA,-9.46
"230","03/06/2023","Savings & Investments/",NA,-50
"231","03/06/2023","Transportation/",NA,-7.79
"232","03/06/2023","Dining/",NA,-10.55
"233","03/06/2023","Dining/",NA,-16.24
"234","03/06/2023","Shopping/",NA,-9.75
